lab,lab_desc,name,short_desc,long_desc,num_samples,technology,sample_type,download_link,published,publication_link,authors,public,contact_name,contact_email,keywords,datatype,species,licensing,year_created,year_updated,doi,slug,citation,scholar_link_cited
Pugh,,EGAD00001006001,"Exome, targetted-capture, RNA and shallow whole-genome sequencing of pancreatic neuroendocrine tumours","This dataset includes 51 samples from 19 individuals with pancreatic neuroendocrine tumours. These samples were analyzed using RNA-sequencing, whole-exome sequencing, shallow (~0.3x) whole-genome sequencing, and a 21-gene panel targeted capture sequencing. Everything was sequenced using the Illumina HiSeq and is provided in BAM or FASTQ format. ",51,,Pancreatic ,https://www.ebi.ac.uk/ega/datasets/EGAD00001006001,Yes,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-020-00730-9,"Rene Quevedo, Anna Spreafico, Jeff Bruce, Arnavaz Danesh, Samah El Ghamrasni, Amanda Giesler, Youstina Hanna, Cherry Have, Tiantian Li, S. Y. Cindy Yang, Tong Zhang, Sylvia L. Asa, Benjamin Haibe-Kains, Monika Krzyzanowska, Adam C. Smith, Simron Singh, Lillian L. Siu & Trevor J. Pugh ",By Request Only,Carl Virtanen,carl.virtanen@uhnresearch.ca,"Pancreatic neuroendocrine tumor, copy-neutral, loss of heterozygosity, aneuploidy",Sequencing BAMs and FASTQs,,,2020,,,,"Quevedo, R., Spreafico, A., Bruce, J. et al. Centromeric cohesion failure invokes a conserved choreography of chromosomal mis-segregations in pancreatic neuroendocrine tumor. Genome Med 12, 38 (2020). https://doi.org/10.1186/s13073-020-00730-9",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Centromeric+cohesion+failure+invokes+a+conserved+choreography+of+chromosomal+mis-segregations+in+pancreatic+neuroendocrine+tumor&btnG=
Pugh,,Targeted sequencing of head and neck squamous cell carcinomas,This dataset includes 112 head and neck tumour samples with matched normal (blood) samples sequenced using a custom hybrid capture panel.,"Overall survival remains very poor for patients diagnosed as having head and neck squamous cell carcinoma (HNSCC). Identification of additional biomarkers and novel therapeutic strategies are important for improving patient outcomes. Patient-derived xenografts (PDXs), generated by implanting fresh tumor tissue directly from patients into immunodeficient mice, recapitulate many of the features of their corresponding clinical cancers, including histopathological and molecular profiles. Using a large collection of PDX models of HNSCC, we demonstrate that rapid engraftment into immunocompromised mice is highly prognostic and show that genomic deregulation of the G1/S checkpoint pathway correlates with engraftment. Furthermore, CCND1 and CDKN2A genomic alterations are predictive of response to the CDK4and CDK6 inhibitor abemaciclib. Overall, our study supports the pursuit of CDK4 and CDK6 inhibitors as a therapeutic strategy for a substantial proportion of HNSCC patients and demonstrates the potential of using PDX models to identify targeted therapies that will benefit patients who have the poorest outcomes.",112,Agilent SureSelect custom in-solution hybrid capture panel / Illumina HiSeq 2000,primary tumour tissue,https://www.ebi.ac.uk/ega/studies/EGAS00001002979,Yes,https://www.sciencedirect.com/science/article/pii/S2211124718315675,"Christina Karamboulas, 	Jeffrey P. Bruce, 	Andrew J. Hope, 	Jalna Meens, 	Shao Hui Huang, 	Natalie Erdmann, 	Elzbieta Hyatt, 	Keira Pereira, 	David P. Goldstein, 	Ilan Weinreb, 	Jie Su, 	Brian O’Sullivan, 	Rodger Tiedemann, 	Fei-Fei Liu, 	Trevor J. Pugh, 	Scott V. Bratman, 	Wei Xu, 	Laurie Ailles",Yes,Jeff Bruce,jbruce@uhnresearch.ca,"head and neck squamous cell carcinoma, HNSCC, personalized treatment, targeted sequencing, cancer, PDX",Targeted sequencing data,,,2018,,,,"Christina Karamboulas, Jeffrey P. Bruce, Andrew J. Hope, Jalna Meens, Shao Hui Huang, Natalie Erdmann, Elzbieta Hyatt, Keira Pereira, David P. Goldstein, Ilan Weinreb, Jie Su, Brian O’Sullivan, Rodger Tiedemann, Fei-Fei Liu, Trevor J. Pugh, Scott V. Bratman, Wei Xu, Laurie Ailles. Patient-Derived Xenografts for Prognostication and Personalized Treatment for Head and Neck Squamous Cell Carcinoma. Cell Reports. Volume 25, Issue 5. (2018) Pages 1318-1331.e4, https://doi.org/10.1016/j.celrep.2018.10.004",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Patient-Derived+Xenografts+for+Prognostication+and+Personalized+Treatment+for+Head+and+Neck+Squamous+Cell+Carcinoma&btnG=
Minden,Leukemia ,Peter van Gallen scRNAseq,scRNAseq data from AML and normal bone marrow,"Single-cell RNA sequencing and genotyping to profile 38,410 cells from 40 bone marrow aspirates, including 16 AML patients and five healthy donors. A machine learning classifier was applied to distinguish a spectrum of malignant cell types whose abundances varied between patients and between subclones in the same tumor.",38410,scRNAseq,human sample,,Yes,https://pubmed.ncbi.nlm.nih.gov/30827681/,Peter van Galen,By Request Only,Mark Minden,mark.minden@uhn.ca,,normalized expression of scRNA counts,,,2019,,,,"van Galen P, Hovestadt V, Wadsworth Ii MH, et al. Single-Cell RNA-Seq Reveals AML Hierarchies Relevant to Disease Progression and Immunity. Cell. 2019;176(6):1265‐1281.e24. doi:10.1016/j.cell.2019.01.031",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Single-Cell+RNA-Seq+Reveals+AML+Hierarchies+Relevant+to+Disease+Progression+and+Immunity&btnG=
Hoffman,,GSE143026,"CTCF ChIP-Seq, RNA-seq, and ATAC-seq data from 5 patient-derived HPV16-positive cell lines","We used 5 patient-derived HPV16-positive cell lines. Three biological replicates for CTCF ChIP-seq, 1 lane of sequencing for ATAC-seq of each sample, and 4 lanes of sequencing for RNA-seq of each sample. We report that the integration of the human papillomavirus into the host genome increases chromatin accessibility, transcription, and CTCF binding within 100 kbp of the integration site which promotes oncogenesis in some patients.",30,Illumina HiSeq 2500,"Homo sapiens, 5 patient-derived HPV16-positive cell lines (93-VU147T, Caski, HMS-001, SCC-090, SiHa)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE143026,Yes,https://doi.org/10.1101/2020.02.12.942755,"	Karimzadeh M, Arlidge C, Rostami A, Lupien M, Bratman SV, Hoffman MM",Yes,Michael Hoffman,michael.hoffman@utoronto.ca,"CTCF, ChIP-seq, RNA-seq, ATAC-seq, HPV, cervical cancer","ChIP-seq, RNA-seq, ATAC-seq",,CC0 1.0 Universal,2020,,,GSE143026,"Karimzadeh M, Arlidge C, Rostami A, et al. Viral integration transforms chromatin to drive oncogenesis. bioRxiv; 2020. DOI: 10.1101/2020.02.12.942755.",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Viral+integration+transforms+chromatin+to+drive+oncogenesis&btnG=
Haibe-Kains,,GSE88715,Gene expression profiles of microdissected tumor epithelium and stroma from TN breast tumors,"Engaging the immune system promises to be key for optimal cancer therapy, especially in hard-to-treat disease such as triple-negative breast cancer (TNBC). However, the immune microenvironment remains poorly understood. Using gene expression based on laser capture microdissection, we identify three distinct tumor microenvironments associated with CD8+ T cell localization patterns and outcome in TNBC. An immunoreactive microenvironment is defined by granzyme B-positive CD8+ T cell infiltration, a type I interferon signature, tumor expression of PD-L1 and good outcome. In contrast, tumors with an immune-cold microenvironment display restriction of CD8+ T cells to tumor margins, elevated tumor expression of the immunosuppressive marker B7-H4, a signature of desmoplastic stroma and poor outcome. A third distinct immunomodulatory microenvironment associated with poor outcome is enriched for IL-17-producing cells and neutrophils, as well as stroma-restricted localisation of CD8+ T cells. These distinct immune microenvironments have implications for TNBC patient stratification for current and future therapies.",76,Expression profiling by array,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE88715,Yes,https://www.jci.org/articles/view/96313,"Gruosso T, Gigoux M, Manem VSK, Bertos N, Zuo D, Perlitch I, Saleh SMI, Zhao H, Souleimanova M, Johnson RM, Monette A, Ramos VM, Hallett MT, Stagg J, Lapointe R, Omeroglu A, Meterissian S, Buisseret L, Van den Eynden G, Salgado R, Guiot MC, Haibe-Kains B, Park M",Yes,Benjamin Haibe-Kains,benjamin.haibe-kains@uhnresearch.ca,,,,,2019,,,GSE88715,"Gruosso T, Gigoux M, Manem VSK, Bertos N et al. Spatially distinct tumor immune microenvironments stratify triple-negative breast cancers. J Clin Invest 2019 Apr 1;129(4):1785-1800. PMID: 30753167","https://scholar.google.com/scholar?cites=5747564559327589802&as_sdt=2005&sciodt=0,5&hl=en"
Haibe-Kains,,GSE88847,Gene expression profiles of TN breast tumors,"Engaging the immune system promises to be key for optimal cancer therapy, especially in hard-to-treat disease such as triple-negative breast cancer (TNBC). However, the immune microenvironment remains poorly understood. Using gene expression based on laser capture microdissection, we identify three distinct tumor microenvironments associated with CD8+ T cell localization patterns and outcome in TNBC. An immunoreactive microenvironment is defined by granzyme B-positive CD8+ T cell infiltration, a type I interferon signature, tumor expression of PD-L1 and good outcome. In contrast, tumors with an immune-cold microenvironment display restriction of CD8+ T cells to tumor margins, elevated tumor expression of the immunosuppressive marker B7-H4, a signature of desmoplastic stroma and poor outcome. A third distinct immunomodulatory microenvironment associated with poor outcome is enriched for IL-17-producing cells and neutrophils, as well as stroma-restricted localisation of CD8+ T cells. These distinct immune microenvironments have implications for TNBC patient stratification for current and future therapies.",37,Expression profiling by array,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE88847,Yes,https://www.jci.org/articles/view/96313,"Gruosso T, Gigoux M, Manem VSK, Bertos N, Zuo D, Perlitch I, Saleh SMI, Zhao H, Souleimanova M, Johnson RM, Monette A, Ramos VM, Hallett MT, Stagg J, Lapointe R, Omeroglu A, Meterissian S, Buisseret L, Van den Eynden G, Salgado R, Guiot MC, Haibe-Kains B, Park M",,Benjamin Haibe-Kains,benjamin.haibe-kains@uhnresearch.ca,,,,,2019,,,GSE88847,"Gruosso T, Gigoux M, Manem VSK, Bertos N et al. Spatially distinct tumor immune microenvironments stratify triple-negative breast cancers. J Clin Invest 2019 Apr 1;129(4):1785-1800","https://scholar.google.com/scholar?cites=5747564559327589802&as_sdt=2005&sciodt=0,5&hl=en"
Haibe-Kains,,GSE99420,Gene Expression Signatures Prognostic for Relapse in Stage I Testicular Germ Cell Tumors (TGCT),"Design, Setting and Participants We reviewed patients with SI non-seminoma (NS) and seminoma (S) from an institutional database (2000-2012) managed with active surveillance. NR-NS and NR-S patients were defined as having no evidence of relapse after 2 and 3 years of surveillance respectively. RNA extraction and gene expression analysis was performed on archival primary tumor samples. Outcome measurements and statistical analysis Gene-Set-Enrichment-Analysis (GSEA) was conducted in order to identify discriminating biological pathways associated with differentiation of R from NR and S from NS. Hierarchical clustering analysis and Wilcoxon testing were used to evaluate candidate genes and expression patterns that could differentiate NR from R. Results 57 patients (12 R-NS, 15 RS, 15 NR-NS, 15 NR-S) were identified with median relapse time of 5.6 (2.5-18.1) and 19.3 (4.7-65.3) months in NS and S cohorts respectively. 1039 differential expressed genes were identified that separated R and NR. In R patients, GSEA revealed enrichment in pathways associated with differentiation such as skeletal development (i.e. FGFR1, BMP4, GLI2, SPARC, COL2A1), tissue (i.e. BMP4, SPARC, COL13A1) and bone remodelling (i.e. CARTPT, GLI2, MGP). A discriminative gene expression profile between R and NR cases was discovered when combining NS and S samples using 10 (p=0.03) and 30 (p=0.03) probe signatures. However, this profile was not observed in the S and NS cohorts individually. Conclusions A discriminating signature for R and NR was identified for SI TGCT that was not histology specific. Genes associated with active differentiation were enriched in patients with R disease. Further validation is required to determine if this signature provides independent prognostic information to standard pathological risk factors.",60,Expression profiling by array,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE99420,Yes,https://bjui-journals.onlinelibrary.wiley.com/doi/full/10.1111/bju.14372,"Lewin J, Soltan Ghoraie L, Bedard PL, Hamilton RJ, Chung P, Moore M, Jewett MAS, Anson-Cartwright L, Virtanen C, Winegarden N, Tsao J, Warde P, Sweet J, Haibe-Kains B, Hansen AR",,Benjamin Haibe-Kains,benjamin.haibe-kains@uhnresearch.ca,,,,,2018,,,GSE99420,"	
Lewin J, Soltan Ghoraie L, Bedard PL, Hamilton RJ et al. Gene expression signatures prognostic for relapse in stage I testicular germ cell tumours. BJU Int 2018 Nov;122(5):814-822. PMID: 29726090","https://scholar.google.com/scholar?cites=13997120734284093170&as_sdt=2005&sciodt=0,5&hl=en"
Haibe-Kains,,PharmacoGx,Contains a set of functions to perform large-scale analysis of pharmacogenomic data.,"High throughput drug screening technologies have enabled the profiling of hundreds of cancer cell lines to a large variety of small molecules to discover novel and repurposed treatments. Several large studies have been publicly released testing candidate molecules, often with corresponding molecular profiles of the cell lines used for drug screening. These studies have become invaluable resources for the research community, allowing researchers to leverage the collected data to support their own research. However, such pharmacogenomic datasets are disparate and lack of standardization for cell line and drug identifiers, and used heterogeneous data format for the drug sensitivity measurements.",1691,,,https://bioconductor.org/packages/release/bioc/html/PharmacoGx.html,Yes,https://academic.oup.com/bioinformatics/article/32/8/1244/1744214,"Petr Smirnov, Zhaleh Safikhani, Mark Freeman, Benjamin Haibe-Kains",,Benjamin Haibe-Kains,benjamin.haibe-kains@uhnresearch.ca,"Classification, GeneExpression, Pharmacogenetics, Pharmacogenomics, Software",,,Artistic-2.0,2016,,,PharmacoGx,"Smirnov P, Safikhani Z, El-Hachem N, Wang D, She A, Olsen C, Freeman M, Selby H, Gendoo D, Grossman P, Beck A, Aerts H, Lupien M, Haibe-Kains AG, (2016). “PharmacoGx: an R package for analysis of large pharmacogenomic datasets.” Bioinformatics (Oxford, England).",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=PharmacoGx%3A+an+R+package+for+analysis+of+large+pharmacogenomic+datasets&btnG=
Haibe-Kains,,MM2Sdata,Contains normalized expression data for Human and Mouse Medulloblastoma models,"Molecular subtyping is instrumental towards selection of model systems for fundamental research in tumor pathogenesis, and clinical patient assessment. Medulloblastoma (MB) is a highly heterogeneous, malignant brain tumor that is the most common cause of cancer-related deaths in children. Current MB classification schemes require large sample sizes, and standard reference samples, for subtype predictions. Such approaches are impractical in clinical settings with limited tumor biopsies, and unsuitable for model system predictions where standard reference samples are unavailable. Our developed Medullo-Model To Subtype (MM2S) classifier stratifies single MB gene expression profiles without reference samples or replicates. Our pathway-centric approach facilitates subtype predictions of patient samples, and model systems including cell lines and mouse models. MM2S demonstrates >96% accuracy for patients of well-characterized normal cerebellum, WNT, or SHH subtypes, and the less-characterized Group 4 (86%) and Group 3 (78.2%). MM2S also enables classification of MB cell lines and mouse models into their human counterparts.",132,Expression profiling by array,,https://cran.r-project.org/web/packages/MM2Sdata/index.html,Yes,https://www.sciencedirect.com/science/article/pii/S0888754315000774?via%3Dihub,"Deena M.A. Gendoo, Benjamin Haibe-Kains",,Benjamin Haibe-Kains,benjamin.haibe-kains@uhnresearch.ca,,,,GPL-3,2015,,,MM2Sdata,,"https://scholar.google.com/scholar?cites=1975912219625140926&as_sdt=2005&sciodt=0,5&hl=en"
Haibe-Kains,,GSE53091,Inference and validation of predictive gene networks from literature and gene expression data,"Although many methods have been developed for inference of biological networks, the validation of the resulting models has largely remained an unsolved problem. Here we present a framework for quantitative assessment of inferred gene interaction networks using knock-down data from cell line experiments. Using this framework we are able to show that network inference based on integration of prior knowledge derived from the biomedical literature with genomic data significantly improves the quality of inferred networks relative to other approaches. Our results also suggest that cell line experiments can be used to quantitatively assess the quality of networks inferred from tumor samples.",125,Expression profiling by array,,https://www.ncbi.nlm.nih.gov/pubmed/25009552,Yes,https://www.frontiersin.org/articles/10.3389/fgene.2014.00177/full,"Olsen C, Fleming K, Prendergast N, Rubio R, Emmert-Streib F, Bontempi G, Haibe-Kains B, Quackenbush J
",,Benjamin Haibe-Kains,benjamin.haibe-kains@uhnresearch.ca,,,,,2013,,,GSE53091,"	
Olsen C, Bontempi G, Emmert-Streib F, Quackenbush J et al. Relevance of different prior knowledge sources for inferring gene interaction networks. Front Genet 2014;5:177. PMID:","https://scholar.google.com/scholar?cites=10971915818929329270&as_sdt=2005&sciodt=0,5&hl=en"
